Chave do item;ID do item;Resumo;Situação;Componente(s);Componente(s);Componente(s);Campo personalizado (Valor Inicial);Campo personalizado (Meta para o Valor);Campo personalizado (Valor Atual);Campo personalizado (Objetivo);Campo personalizado (Resultado Chave);Campo personalizado (Ciclo da Iniciativa);Campo personalizado (Check In);Campo personalizado (Completude);Campo personalizado (Lista de céulas OKRs);Campo personalizado (Observação para PI Planning);Campo personalizado (Quando Será Medido?);Campo personalizado (Transbordo);Rótulos;Rótulos;Campo personalizado (% Avanço);Campo personalizado (Empresa BS);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate)
SGTIJIRA01-58331;863115;OKR1.1.1.4 Aumentar a competitividade no mercado;Em Progresso;PI#8BAR;;;0.0;1;0;O1.1.1 Aumentar a competitividade no mercado;KR1.1.1.4 Expandir o produto proteção digital para o seguimento principal;Ciclo 2025;3;;BAR Produtos RE Digitais;;Medição ao final do 4º trim;Não;Desenvolvimento_Comercialização_Produto_RE;;0.0;BARE;;;;;;;;;;;;;;;;;;;;;SBARAFND04-13;SGTIJIRA01-51134;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58330;863114;OKR1.1.1.3 Aumentar a competitividade no mercado;A Fazer;PI#8BAR;;;0.0;1;0;O1.1.1 Aumentar a competitividade no mercado;KR1.1.1.3 Habilitar os sistemas para a criação do produto DÉBITO + Pix;Ciclo 2025;3;;BAR Produtos RE Digitais;;Medição ao final do 4º trim;Não;Desenvolvimento_Comercialização_Produto_RE;;0.0;BARE;;;;;;;;;;;;;;;;;;;;;SBARAFND04-11;SGTIJIRA01-51134;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58326;856745;OKR1.3.3.3 Migrar o consumo de dados da busca de rede referenciada do SGRR para o GPRS.;Em Progresso;PI#9SI;;;0.0;1;0;O1.3.3 Migrar o consumo de dados da busca de rede referenciada do SGRR para o GPRS.;KR1.3.3.3 Migrar a busca do portal legado para a nova estrutura de serviços.;Ciclo 2025;1;;SAU Busca de Rede Referenciada;;Medição ao final do 4º trim;Não;VS_REFERENCIADO;;;Saúde;;;;;;;;;;;;;;;;;;;;;SSAUVSRF00-7715;SSAUVSRF00-7714;SGTIJIRA01-50615;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58325;856744;OKR1.3.3.2 Migrar o consumo de dados da busca de rede referenciada do SGRR para o GPRS.;Em Progresso;PI#9SI;;;0.0;4;1;O1.3.3 Migrar o consumo de dados da busca de rede referenciada do SGRR para o GPRS.;KR1.3.3.2 Desenvolver 04 novos serviços para o consumo do GPRS.;Ciclo 2025;1;;SAU Busca de Rede Referenciada;;Medição ao final do 4º trim;Não;VS_REFERENCIADO;;25.0;Saúde;;;;;;;;;;;;;;;;;;;;;SSAUVSRF00-7711;SGTIJIRA01-50615;SSAUVSRF00-7709;SSAUVSRF00-7713;SSAUVSRF00-7705;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58324;856582;OKR2.5.1.1 Viabilizar a continuidade da recepção digital de documentos.;Em Progresso;PI#9SI;;;0.0;1;0;O2.5.1 Viabilizar a continuidade da recepção digital de documentos.;KR2.5.1.1 Atender um ponto de melhoria de infraestrutura;Ciclo 2025;1;;SAU VSSP - Assertividade de Pagamentos;;Medição ao final do 4º trim;Não;VS_PAGAMENTOS;;;Saúde;;;;;;;;;;;;;;;;;;;;;SSAUVSSP00-14935;SGTIJIRA01-50715;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58323;856247;OKR1.4.1.2 Aumentar a  eficiência da reanálise de sinistros.;Em Progresso;PI#9SI;;;0.0;10;0.3;O1.4.1 Aumentar a  eficiência da reanálise de sinistros.;KR1.4.1.2 Atingir em 10% a automatização de guias de recurso (média mês).;Ciclo 2025;1;;SAU VSSP - Automação do Recurso;;Medição ao final do 4º trim;Não;VS_PAGAMENTOS;;3.0;Saúde;;;;;;;;;;;;;;;;;;;;;SSAUVSSP00-15198;SSAUVSSP00-11722;SGTIJIRA01-50608;SSAUVSSP00-15106;SSAUVSSP00-13991;SSAUVSSP00-14565;SSAUVSSP00-13994;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58319;854985;OKR2.2.1.5 Simplificar rotinas para impulsionar a produtividade e a colaboração entre as áreas.;Em Progresso;PI#2PGC;;;4.2;3;"4,2";"O2.2.1 Simplificar rotinas para impulsionar a produtividade e a colaboração entre as áreas.
";"OKR2.2.1.5 Reduzir em 30% a média mensal de abends relacionados ao Power Center.

";Ciclo 2025;;;;;Medição ao final do 4º trim;Não;VS_PGC;;;OV;SGTIJIRA01-58222;SHOLOVTC00-778;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58318;854984;OKR2.2.1.4 Simplificar rotinas para impulsionar a produtividade e a colaboração entre as áreas;Em Progresso;PI#2PGC;;;60.0;36;60;O2.2.1 Simplificar rotinas para impulsionar a produtividade e a colaboração entre as áreas.;"OKR2.2.1.4 Implementar melhorias com ganho de 40% em economia de tempo no report diario de atualização de dados das verticais.
";Ciclo 2025;;;"'

";;Medição ao final do 4º trim;Não;VS_PGC;;;OV;SGTIJIRA01-58222;;;;;;;;;;;;;;;;;;;;SHOLOVTC00-776;SHOLOVTC00-817;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58317;854983;OKR3.1.1.1 Promover autonomia ao Time Comercial para realização das correções de implantações de agência incorreta.;Em Progresso;PI#2PGC;;;56.0;48;56;"O3.1.1 - Promover autonomia ao Time Comercial para realização das correções de implantações de agência incorreta.

";"OKR3.1.1.1 Reduzir 15% do volume de ocorrências no Portal PGC, que estejam relacionadas a Implantação de Agências Incorretas.
";Ciclo 2025;;;;;Medição ao final do 4º trim;Não;VS_PGC;;;OV;SGTIJIRA01-51317;;;;;;;;;;;;;;;;;;;;SHOLOVSI01-1854;SHOLOVSI00-5168;SHOLOVTC00-814;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58316;854395;OKR1.2.6.1 Ativar o canal de envio de mensagens via WhatsApp para beneficiários e contratantes e Individuais;A Fazer;PI#9SI;;;0.0;1;0;O1.2.6 Ativar o canal de envio de mensagens via WhatsApp para beneficiários e contratantes e Individuais;KR1.2.6.1 Implementar uma API de integração para envio de comunicação de inadimplência com o serviço de Whatsapp do canal de Digital.;Ciclo 2025;1;;SAU VSGA - Habilitador Serviços;;Medição ao final do 4º trim;Não;VS_GA;;;Saúde;;;;;;;;;;;;;;;;;;;;;SGTIJIRA01-50661;SSAUVSGA00-33849;;;;;;;;;;;;;;;;;;;;;;;;;
